№,Фільм,Оригінальна назва,Рік,Рейтинг,Режисер
1,Втеча з Шоушенка,The Shawshank Redemption,1994,"9,3",Френк Дарабонт
2,Хрещений батько,The Godfather,1972,"9,2",Френсіс Форд Коппола
3,Темний лицар,The Dark Knight,2008,"9,0",Крістофер Нолан
4,Хрещений батько 2,The Godfather: Part II,1974,"9,0",Френсіс Форд Коппола
5,Кримінальне чтиво,Pulp Fiction,1994,"8,9",Квентін Тарантіно
6,Володар Перснів: Повернення короля,The Lord of the Rings: The Return of the King,2003,"8,9",Пітер Джексон
7,Список Шиндлера,Schindler's List,1993,"8,9",Стівен Спілберг
8,12 розгніваних чоловіків,12 Angry Men,1957,"8,9",Сідні Люмет
9,Початок,Inception,2010,"8,8",Крістофер Нолан
10,Бійцівський клуб,Fight Club,1999,"8,8",Девід Фінчер
11,Форрест Ґамп,Forrest Gump,1994,"8,8",Роберт Земекіс
12,Володар Перснів: Братерство Персня,The Lord of the Rings: The Fellowship of the Ring,2001,"8,8",Пітер Джексон
13,"Хороший, поганий, злий","Il buono, il brutto, il cattivo",1966,"8,8",Серджо Леоне
14,Матриця,The Matrix,1999,"8,7",брати Ваховські
15,Володар Перснів: Дві вежі,The Lord of the Rings: The Two Towers,2002,"8,7",Пітер Джексон
16,Зоряні війни. Епізод V. Імперія завдає удару у відповідь,Star Wars: Episode V — The Empire Strikes Back,1980,"8,7",Ірвін Кершнер
17,Славні хлопці,Goodfellas,1990,"8,7",Мартін Скорсезе
18,Пролітаючи над гніздом зозулі,One Flew Over the Cuckoo's Nest,1975,"8,7",Мілош Форман
19,Інтерстеллар,Interstellar,2014,"8,6",Крістофер Нолан
20,Сім,Se7en,1995,"8,6",Девід Фінчер
21,Мовчання ягнят,The Silence of the Lambs,1991,"8,6",Джонатан Деммі
22,Врятувати рядового Раяна,Saving Private Ryan,1998,"8,6",Стівен Спілберг
23,Зоряні війни. Епізод IV. Нова надія,Star Wars: Episode IV — A New Hope,1977,"8,6",Джордж Лукас
24,Зелена миля,The Green Mile,1999,"8,6",Френк Дарабонт
25,Місто Бога,City of God,2002,"8,6",Фернанду Мейрелліш
26,Сен та Чіхіро в полоні у духів (Віднесені привидами),Spirited Away,2001,"8,6",Міядзакі Хаяо
27,Життя прекрасне,La vita è bella,1997,"8,6",Роберто Беніньї
28,Паразити,Parasite / 기생충,2019,"8,6",Пон Чжун Хо
29,"Це дивовижне життя (Це прекрасне життя, 1946)",It's a Wonderful Life,1946,"8,6",Френк Капра
30,Сім самураїв,七人の侍,1954,"8,6",Акіра Куросава
31,Харакірі,切腹,1962,"8,6",Кобаясі Масакі
32,Гладіатор,Gladiator,2000,"8,5",Рідлі Скотт
33,Відступники,The Departed,2006,"8,5",Мартін Скорсезе
34,Престиж,The Prestige,2006,"8,5",Крістофер Нолан
35,Назад у майбутнє,Back to the Future,1985,"8,5",Роберт Земекіс
36,Американська історія Ікс,American History X,1998,"8,5",Тоні Кей
37,Леон,Léon,1994,"8,5",Люк Бессон
38,Термінатор 2: Судний день,Terminator 2: Judgment Day,1991,"8,5",Джеймс Камерон
39,Звичайні підозрювані,The Usual Suspects,1995,"8,5",Браян Сінгер
40,Король Лев,The Lion King,1994,"8,5","Роджер Аллерс, Роб Мінкофф"
41,Джокер,Joker,2019,"8,5",Тодд Філліпс
42,Недоторканні (1+1),Intouchables,2011,"8,5",Олів'є Накаш
43,Піаніст,The Pianist,2002,"8,5",Роман Полянський
44,Одержимість,Whiplash,2014,"8,5",Дам'єн Шазель
45,Психо,Psycho,1960,"8,5",Альфред Гічкок
46,Касабланка,Casablanca,1942,"8,5",Майкл Кертіс
47,Якось на Дикому Заході (Одного разу на Дикому Заході),Once Upon a Time in the West,1968,"8,5",Серджіо Леоне
48,Могила світлячків,火垂るの墓,1988,"8,5",Ісао Такахата
49,Новий кінотеатр «Парадізо»,Cinema Paradiso,1988,"8,5",Джузеппе Торнаторе
50,Нові часи,Modern Times,1936,"8,5",Чарлі Чаплін
51,Вогні великого міста,City Lights,1931,"8,5",Чарлі Чаплін
52,Чужий,Alien,1979,"8,4",Рідлі Скотт
53,Апокаліпсис сьогодні (Апокаліпсис наших днів),Apocalypse Now,1979,"8,4",Френсіс Форд Коппола
54,Пам'ятай,Memento,2000,"8,4",Крістофер Нолан
55,Індіана Джонс: У пошуках втраченого ковчега,Raiders of the Lost Ark,1981,"8,4",Стівен Спілберг
56,Великий диктатор,The Great Dictator,1940,"8,4",Чарлі Чаплін
57,Вікно у двір,Rear Window,1954,"8,4",Альфред Гічкок
58,Життя інших,The Lives of Others,2006,"8,4",Флоріан Хенкель фон Доннерсмарк
59,Джанґо вільний,Django Unchained,2012,"8,4",Квентін Тарантіно
60,Шляхи слави,Paths of Glory,1957,"8,4",Стенлі Кубрик
61,Сяйво,The Shining,1980,"8,4",Стенлі Кубрик
62,ВОЛЛ-І,WALL·E,2008,"8,4",Ендрю Стентон
63,Месники: Війна нескінченності,Avengers: Infinity War,2018,"8,4","Ентоні Руссо, Джо Руссо"
64,Бульвар Сансет,Sunset Blvd.,1950,"8,4",Біллі Вайлдер
65,Людина-павук: Навколо всесвіту,Spider-Man: Into the Spider-Verse,2018,"8,4","Боб Персічетті, Пітер Ремзі, Родні Ротман"
66,Принцеса Мононоке,Princess Mononoke,1997,"8,4",Міядзакі Хаяо
67,"Доктор Стрейнджлав, або Як я навчився не хвилюватися й полюбив атомну бомбу (Доктор Стрейнджлав, або Як я перестав хвилюватись і полюбив бомбу)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"8,4",Стенлі Кубрик
68,Свідок обвинувачення,Witness for the Prosecution,1957,"8,4",Біллі Вайлдер
69,Олдбой,Oldboy,2003,"8,4",Пан Чхан Ук
70,Темний лицар повертається,The Dark Knight Rises,2012,"8,3",Крістофер Нолан
71,Одного разу в Америці (Якось в Америці),Once Upon a Time in America,1984,"8,3",Серджіо Леоне
72,Месники: Завершення,Avengers: Endgame,2019,"8,3",брати Руссо
73,Чужі,Aliens,1986,"8,3",Джеймс Камерон
74,Твоє ім'я,君の名は / Kimi no na wa,2016,"8,3",Макото Сінкай
75,Коко,Coco,2017,"8,3","Лі Анкрич, Едріан Моліна"
76,Краса по-американськи,American Beauty,1999,"8,3",Сем Мендес
77,Хоробре серце,Braveheart,1995,"8,3",Мел Гібсон
78,Підводний човен,Das Boot,1981,"8,3",Вольфганг Петерсен
79,3 ідіоти (Три ідіоти),3 Idiots,2009,"8,3",Раджкумар Хірані
80,Історія іграшок,Toy Story,1995,"8,3",Джон Лассетер
81,Рай та пекло (Рай і пекло),天国と地獄 / High and Low,1963,"8,3",Куросава Акіра
82,Амадей,Amadeus,1984,"8,3",Мілош Форман
83,Зірочки на землі (Зіроньки на Землі),Taare Zameen Par,2007,"8,3",Аамір Хан
84,Зоряні війни. Епізод VI. Повернення джедая,Star Wars: Episode VI — Return of the Jedi,1983,"8,3",Річард Маркуанд
85,Скажені пси,Reservoir Dogs,1992,"8,3",Квентін Тарантіно
86,Безславні виродки,Inglourious Basterds,2009,"8,3",Квентін Тарантіно
87,Розумник Вілл Гантінґ,Good Will Hunting,1997,"8,3",Гас Ван Сент
88,2001 рік: Космічна Одіссея,2001: A Space Odyssey,1968,"8,3",Стенлі Кубрик
89,1917,1917,2019,"8,3",Сем Мендес
90,Капернаум,كفرناحوم / Capernaum,2018,"8,3",Надін Лабакі
91,Запаморочення,Vertigo,1958,"8,3",Альфред Гічкок
92,Реквієм за мрією,Requiem for a Dream,2000,"8,3",Даррен Аронофскі
93,M (М: місто шукає вбивцю),M,1931,"8,3",Фріц Ланг
94,Боротьба (Дангал),दंगल / Dangal,2016,"8,3",Нітеш Тіварі
95,Вічне сяйво чистого розуму,Eternal Sunshine of the Spotless Mind,2004,"8,3",Мішель Ґондрі
96,Полювання,Jagten,2012,"8,3",Томас Вінтерберґ
97,Громадянин Кейн,Citizen Kane,1941,"8,3",Орсон Веллс
98,Суцільнометалева оболонка (Цілісно-металева оболонка),Full Metal Jacket,1987,"8,3",Стенлі Кубрик
99,Викрадачі велосипедів (Крадії велосипедів),Bicycle Thieves,1948,"8,2",Вітторіо де Сіка
100,На північ через північний захід,North by Northwest,1959,"8,2",Альфред Гічкок
101,Механічний апельсин,A Clockwork Orange,1971,"8,2",Стенлі Кубрик
102,Маля (Малюк),The Kid,1921,"8,2",Чарлі Чаплін
103,Великий куш,Snatch.,2000,"8,2",Ґай Річі
104,Співаючи під дощем,Singin' in the Rain,1952,"8,2","Стенлі Донен, Джин Келлі"
105,Обличчя зі шрамом,Scarface,1983,"8,2",Браян Де Пальма
106,Таксист,Taxi Driver,1976,"8,2",Мартін Скорсезе
107,Ананд,आनन्द (Anand),1971,"8,3",Хрішікеш Мукерджі
108,Амелі (Неймовірна доля Амелі Пулен),Le Fabuleux Destin d'Amelie Poulain,2001,"8,2",Жан-П'єр Жене
109,Лоуренс Аравійський,Lawrence of Arabia,1962,"8,2",Девід Лін
110,Історія іграшок 3,Toy Story 3,2010,"8,2",Лі Анкрич
111,Афера (Аферисти),The Sting,1973,"8,2",Джордж Рой Хілл
112,Жити,生きる / Ikiru,1985,"8,2",Акіра Куросава
113,Метрополіс,Metropolis,1927,"8,2",Фріц Ланг
114,Надер і Симін: Розлучення (Розлучення Надера і Сімін),جدایی نادر از سیمین / Jodaeiye Nader az Simin,2011,"8,2",Асгар Фархаді
115,На декілька доларів більше,For a Few Dollars More,1965,"8,2",Серджіо Леоне
116,Квартира,The Apartment,1960,"8,2",Біллі Вайлдер
117,Пожежі,Incendies,2010,"8,2",Дені Вільнев
118,Подвійна страховка,Double Indemnity,1944,"8,2",Біллі Вайлдер
119,Вбити пересмішника (Убити пересмішника),To Kill a Mockingbird,1962,"8,2",Роберт Малліган
120,Індіана Джонс і останній хрестовий похід,Indiana Jones and the Last Crusade,1989,"8,2",Стівен Спілберг
121,Вперед і вгору,Up,2009,"8,2",Піт Доктер
122,Таємниці Лос-Анджелеса (Секрети Лос-Анджелеса),L.A. Confidential,1997,"8,2",Кертіс Хенсон
123,Протистояння (Сутичка / Двобій),Heat,1995,"8,2",Майкл Манн
124,Іди і дивись,Иди и смотри,1985,"8,2",Елем Климов
125,Монті Пайтон і Священний Грааль,Monty Python and the Holy Grail,1975,"8,2","Террі Гілліам, Террі Джонс"
126,Міцний горішок,Die Hard,1988,"8,2",Джон Мактірнан
127,Расьомон (Рашьомон),"羅生門, らしょうもん / Rashomon",1950,"8,2",Акіра Куросава
128,Охоронець,"用心棒, ようじんぼう / Yojimbo",1961,"8,2",Акіра Куросава
129,Бетмен: Початок,Batman Begins,2005,"8,2",Крістофер Нолан
130,Зелена книга,Green Book,2018,"8,2",Пітер Фарреллі
131,Бункер,Der Untergang / Downfall,2004,"8,2",Олівер Гіршбіґель
132,Діти небес,بچههای آسمان/Bacheha-Ye aseman,1997,"8,2",Маджид Маджиді
133,‎Непрощений,Unforgiven,1992,"8,2",Клінт Іствуд
134,У джазі тільки дівчата,Some Like It Hot,1959,"8,2",Біллі Вайлдер
135,Ран,乱/Ran,1985,"8,2",Акіра Куросава
136,Мандрівний замок Хаула,ハウルの動く城/Hauru no ugoku shiro,2004,"8,2",Міядзакі Хаяо
137,Велика втеча,The Great Escape,1963,"8,2",Джон Еліот Стьорджес
138,Ігри розуму,A Beautiful Mind,2001,"8,2",Рон Говард
139,Все про Єву (Усе про Єву),All About Eve,1950,"8,2",Джозеф Манкевич
140,Казино,Casino,1995,"8,2",Мартін Скорсезе
141,Лабіринт Фавна,Pan's Labyrinth,2006,"8,2",Гільєрмо дель Торо
142,Вовк з Уолл-стріт (Вовк з Волл-стріт),The Wolf of Wall Street,2013,"8,2",Мартін Скорсезе
143,Таємниця в його очах (Секрет у його очах),El secreto de sus ojos,2009,"8,2",Хуан Хосе Кампанелья
144,Мій сусід Тоторо,となりのトトロ/Tonari no Totoro,1988,"8,1",Міядзакі Хаяо
145,"Карти, гроші та два стволи, що димлять (Карти, гроші, два стволи)","Lock, Stock and Two Smoking Barrels",1998,"8,1",Ґай Річі
146,Скажений бик,Raging Bull,1980,"8,1",Мартін Скорсезе
147,Нафта,There Will Be Blood,2007,"8,1",Пол Томан Андерсон
148,Скарби Сьєрра-Мадре,The Treasure of the Sierra Madre,1948,"8,1",Джон Г'юстон
149,Нюрнберзький процес,Judgment at Nuremberg,1961,"8,1",Стенлі Крамер
150,Мій батько і мій син (Батько та Син),Babam ve Oğlum,2005,"8,1",Чаган Ирмак
151,"Три білборди за межами Еббінга, Міссурі","Three Billboards Outside Ebbing, Missouri",2017,"8,1",Мартін Макдона
